ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
5531	w e w ei n o	4569	darkness	11	Lule	ueueynó		Lule-Vilela	w e w ei n o	ueueynó			"tinieblas"
5532	s ai k s + p e	4570 2000	paint (noun)	647	Lule	saics+pé		Lule-Vilela	s ai k s + p e	saics+pé			
5533	None	3141	summer	1342	Lule	alup		Lule-Vilela	a l u p	alup			
5534	a tʰ i ts	4571 4572	blood	946	Maka	athits		Matacoan	a tʰ i ts	athits			
5535	None	540	eye	1248	Maka	to'		Matacoan	t o ʔ	to'			
5536	e x i ʔ	2481	mouth	674	Maka	exi'		Matacoan	e x i ʔ	exi'			Also door
5537	x i ɬ a	4573	head	1256	Maka	xiɫa		Matacoan	x i ɬ a	xiɫa			
5538	None	7536 2483	liver	1224	Maka	aq ɫik	food ?	Matacoan	a q + ɫ i k	aq ɫik			
5539	k oi	4574	hand	1277	Maka	koy		Matacoan	k oi	koy			Also arm and forearm
5540	None	1747	nose	1221	Maka	enex	nose	Matacoan	e n e x	enex			inex
5541	None	4234	ear	1247	Maka	ekfi'		Matacoan	e k f i ʔ	ekfi'			ikfi'
5542	None	1854 4575	walk	1443	Maka	ots+xo'	walk ?	Matacoan	o ts + x o ʔ	otsxo'			A pie (como en alemán gehen o en ruso idti)
5543	tˀ u n + i + kˀ i	4576 2529 4577	wind	960	Maka	t'un+i+k'i	strong _:out _:out	Matacoan	tˀ u n + i + kˀ i	t'unik'i			
5544	s ʔ e ʔ	4578	red	156	Maka	s'e'		Matacoan	s ʔ e ʔ	s'e'; siyixi'			
5545	None	4579 4580	red	156	Maka	siyi+xi'	red _:in	Matacoan	s i j i + x i ʔ	s'e'; siyixi'			
5546	ɫ i h i ʔ	23	egg	744	Maka	ɫihi'	egg	Matacoan	ɫ i h i ʔ	ɫihi'			
5547	t u + ph a m	25 4581	suck	1421	Maka	tu+pham	_:up	Matacoan	t u + ph a m	tupham			Der. de tuf/ɫuf: mamar
5548	None	1145	see	1409	Maka	wen		Matacoan	w e n	wen			
5549	e w h e j e ʔ	4582	husband	1200	Maka	ewheye'		Matacoan	e w h e j e ʔ	ewheye'			iwheye'
5550	e w h e j e ʔ	4583	wife	1199	Maka	ewheye'		Matacoan	e w h e j e ʔ	ewheye'			iwheye'
5551	None	2493	hear	1408	Maka	epiye'		Matacoan	e p i j e ʔ	epiye'			Actually 'listen'. I found no 'hear'
5552	x u n w a t	558 2495	bird	937	Maka	xunwat		Matacoan	x u n w a t	xunwat			Gerzenstein's dictionary relates it to 'was' }(sky)
5553	s e h e ts	2496	fish	227	Maka	sehets		Matacoan	s e h e ts	sehets			Also 'sábalo'
5554	e kh u f u + j i kˀ i	3844 4584	worm	1219	Maka	ekhufu+yik'i		Matacoan	e kh u f u + j i kˀ i	ekhufuyik'i; q'oyq'oq'oy; tshaltshal; tanxap'iletaX			De hoja
5555	qˀ oi + qˀ o + qˀ oi	4585 3844 4586	worm	1219	Maka	q'oy+q'o+q'oy		Matacoan	qˀ oi + qˀ o + qˀ oi	ekhufuyik'i; q'oyq'oq'oy; tshaltshal; tanxap'iletaX			De fruta
5556	ts h a l ts h a l	4587	worm	1219	Maka	tshaltshal		Matacoan	ts h a l ts h a l	ekhufuyik'i; q'oyq'oq'oy; tshaltshal; tanxap'iletaX			De agua
5557	t a n x a pˀ i l e + t a χ	4588 7548	worm	1219	Maka	tanxap'ile+taX	_:aum _:aum	Matacoan	t a n x a pˀ i l e + t a χ	ekhufuyik'i; q'oyq'oq'oy; tshaltshal; tanxap'iletaX			Lombriz
5558	qˀ oi + qˀ oi	4589 4590	snake	730	Maka	q'oy+q'oy		Matacoan	qˀ oi + qˀ oi	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			ver worm, parece una reduplicación o proceso similar ¿no?
5559	a + m a x a + j i kˀ i	4591 561 4592	snake	730	Maka	a+maxa+yik'i	yellow ?	Matacoan	a + m a x a + j i kˀ i	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			de tierra, color verde y amarillento, mansa y no venenosa
5560	a q x a j a n k e ts i l + k iː	4593 1120	snake	730	Maka	aqxayanketsil+kii	_:ext _:ext	Matacoan	a q x a j a n k e ts i l + k iː	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			acuática, negra, no venenosa aqxayanketsil+kii, fijate que el plural va entre sil y kii
5561	a x a l ts i ʔ	4594	snake	730	Maka	axaltsi'		Matacoan	a x a l ts i ʔ	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			acuática
5562	o l o ts + ɫ + e q e t i + l	4595 2276 2025 4596	snake	730	Maka	olots+ɫ+eqeti+l	many _:poss ? _:pl	Matacoan	o l o ts + ɫ + e q e t i + l	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			coral olots+ɫ+eqeti+l podría ser marca de plural "todos sus algo+s"
5563	s e χ e s i + n a χ	2028 41	snake	730	Maka	seXesi+naX	_:nmlz	Matacoan	s e χ e s i + n a χ	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			cascabel seXesi-naX 'la sonajera/la que usa el sonajero (sexesi')
5564	s i tˀ u n χ a j a ʔ	4597	snake	730	Maka	sit'unXaya'		Matacoan	s i tˀ u n χ a j a ʔ	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			de tierra con franjas amarillas, blancas y negras, no venenosa
5565	None	4598	snake	730	Maka	yawix		Matacoan	j a w i x	q'oyq'oy; amaxayik'i; aqxayanketsilkii; axaltsi'; olotsɫeqetil; seXesinaX; sit'unXaya'; yawix			acuática, blanca y negra, no venenosa
5566	iː ɬ e ʔ	2501	louse	1392	Maka	iiɫe'		Matacoan	iː ɬ e ʔ	iiɫe'			
5567	n u + n a x	4076	dog	2009	Maka	nunax	dog _:suff/nax	Matacoan	n u + n a x	nunax			
5568	l e p e p	46 4599	tongue	1205	Maka	lepep		Matacoan	l e p e p	lepep			Possibly related to lepin: lick
5569	None	4600	neck	1333	Maka	wonxe'		Matacoan	w o n x e ʔ	wonxe'			
5570	e q f u t i ʔ	49	breast (of woman)	1402	Maka	eqfuti'		Matacoan	e q f u t i ʔ	eqfuti'			
5571	ɬ + e f	4601	wing	1257	Maka	ɫef	_:poss wing	Matacoan	ɬ + e f	ɫef			
5572	None	51	back	1291	Maka	anu		Matacoan	a n u	anu; awtala'			
5573	None	4602	back	1291	Maka	awtala'		Matacoan	a w t a l a ʔ	anu; awtala'			Upper part
5574	None	570	bone	1394	Maka	enu		Matacoan	e n u	enu			inu
5575	None	2509	leg	1297	Maka	qanaxak		Matacoan	q a n a x a k	qanaxak			
5576	None	572	foot	1301	Maka	f'i'		Matacoan	f ʔ i ʔ	f'i'			
5577	kˀ u n h e t i ʔ	2042	tooth	1380	Maka	k'unheti'		Matacoan	kˀ u n h e t i ʔ	k'unheti'			
5578	ɬ i t i ʔ	4603	heart	1223	Maka	ɫiti'		Matacoan	ɬ i t i ʔ	ɫiti'			
5579	None	1174	sleep	1585	Maka	ma'		Matacoan	m a ʔ	ma'			hama'
5580	ɬ + a h a ts x i ʔ	2046 4604 4580	tail	1220	Maka	ɫa+hats+xi'	_:poss tail	Matacoan	ɬ + a h a ts x i ʔ	ɫahatsxi'			
5581	None	2514	bite	1403	Maka	ikfex		Matacoan	i k f e x	ikfex			
5582	None	1181	kill	1417	Maka	lan		Matacoan	l a n	lan			
5583	ɬ + ʔ a x	2276 4605	skin, hide	763	Maka	ɫ+'ax	_:poss skin	Matacoan	ɬ + ʔ a x	ɫ'ax			Also fruit peel
5584	e k ui + k iː	4606 1120	vomit	1278	Maka	ekuy+kii	_:ext _:ext	Matacoan	e k ui + k iː	ekuykii			ekuyikii
5585	ɬ + e w k u x u x	2276 4607	feather	1201	Maka	ɫ+ewkuxux	_:poss feather	Matacoan	ɬ + e w k u x u x	ɫewkuxux			Also wool, and animal and human hair
5586	None	4608	earth (ground, soil)	1228	Maka	sehe'		Matacoan	s e h e ʔ	sehe'			
5587	e p kˀ + i j i t	4609 3194	narrow	1267	Maka	epk'+iyit		Matacoan	e p kˀ + i j i t	epk'iyit			
5588	None	2524	fire	221	Maka	fet		Matacoan	f e t	fet			
5589	None	4610 79	sea	1474	Maka	q+iweli	water	Matacoan	q + i w e l i	qiweli			qiiweli q+iweli 'agua grande/mucha agua' iweli es 'agua, río'
5590	None	2528	dry	1398	Maka	isɫat		Matacoan	i s ɫ a t	isɫat			Verbo
5591	i + k + w e t + x u ɬ	2529 2339 4081 4611	four	1500	Maka	i+k+wet+xuɫ	_:3sg go _:apl _:apl	Matacoan	i + k + w e t + x u ɬ	ikwetxuɫ			
5592	None	4612	woman	962	Maka	efu		Matacoan	e f u	efu			
5593	None	2533	yellow	1424	Maka	maaxa		Matacoan	m aː x a	maaxa			
5594	a j a ʔ	1205	fly (vb)	1441	Maka	aya'		Matacoan	a j a ʔ	aya'			
5595	ɬ e + f i t e ts	2341 2537	root	670	Maka	ɫe+fitets	_:poss root	Matacoan	ɬ e + f i t e ts	ɫefitets			
5596	a kh a	91	you (singular)	1215	Maka	akha	you	Matacoan	a kh a				akha
5597	None	2541	lake	624	Maka	imile'		Matacoan	i m i l e ʔ	imile'; kaɫi'			Deep lagoon
5598	k a ɬ i ʔ	2541	lake	624	Maka	kaɫi'		Matacoan	k a ɬ i ʔ	imile'; kaɫi'			Not deep lagoon
5599	None	95	black	163	Maka	no'		Matacoan	n o ʔ	no'			
5600	x e l e + ʔ e x	1214 4613	throw	1456	Maka	xele+'ex		Matacoan	x e l e + ʔ e x	xele'ex			xele'-ex
5601	None	3215 1120	swim	1439	Maka	am+kii	_:ext _:ext	Matacoan	a m + k iː	amkii			En ejemplos aparecen otras formas: hayam (1sg, quizá irrealis); nat'am (idem) 'am; netek. am es 'llegar, viajar'
5602	ɬ + ʔ e qʰ i p	2276 600	dust	2	Maka	ɫ+'eqhip	_:poss dust	Matacoan	ɬ + ʔ e qʰ i p	ɫ'eqhip			
5603	None	100	day	1225	Maka	neɫu		Matacoan	n e ɫ u	neɫu			También mundo. Hay en el dic. una explicación desde la visión del mundo maká
5604	None	3338	who?	1235	Maka	ɫek	what	Matacoan	ɫ e k	ɫek			
5605	f oː + t e k i ʔ	4614 2071	star	1430	Maka	fo+oteki'	white ?	Matacoan	f oː + t e k i ʔ	footeki'			
5606	a ts a l k i s	1229	sharp	1396	Maka	atsalkis		Matacoan	a ts a l k i s	atsalkis; asɫet			Verbo tr
5607	None	4615 1228	sharp	1396	Maka	asɫ+et		Matacoan	a s ɫ + e t	atsalkis; asɫet			Verbo tr No sé si dividiría la -t
5608	h a ts + ɫ e w i s	4616 4617	right, correct	1725	Maka	hats+ɫewis		Matacoan	h a ts + ɫ e w i s	hats+ɫewis, y+asin+ik'i			Aparecen frases derivadas: yasinik'i (es correcto), asin: dar en el blanco; hats ɫewis: de ɫewis: lindo
5609	j + a s i n + i + kˀ i	184 4619 2529 4577	right, correct	1725	Maka	y+asin+i+k'i	_/j ? _:out ?	Matacoan	j + a s i n + i + kˀ i	hats+ɫewis, y+asin+ik'i			y+asin+i+k'i
5610	None	1232 4621	dig	1418	Maka	tix+xu'	_:down _:down	Matacoan	t i x + x u ʔ	tixxu'; ɫixxu'			
5611	None	1232 4621	dig	1418	Maka	ɫix+xu'	_:down _:down	Matacoan	ɫ i x + x u ʔ	tixxu'; ɫixxu'			
5612	q e s u x + a χ	4622 4623	squeeze, wring	1414	Maka	qesux+aX		Matacoan	q e s u x + a χ	qesuxaX			Relacionado con el verbo que significa acogotar ¿o qesux+aX?
5613	None	4624	mother	1216	Maka	nene		Matacoan	n e n e	nene			
5614	f u j u	4625	blow	175	Maka	fuyu	sing	Matacoan	f u j u	fuyu			
5615	None	4626	near (adv)	1942	Maka	met		Matacoan	m e t	met; nixup			
5617	i kˀ a x i j i t + i n	2559 4287	cut	1432	Maka	ik'axiyit+in	short ?	Matacoan	i kˀ a x i j i t + i n	ik'axiyit+in; iɫelitsinhetxu'; isaX+em; iwk'itsin+xi'; tusix			
5618	i + ɫ + e l i ts + i n h e t + x u ʔ	2529 2276 4628 2559 4621	cut	1432	Maka	i+ɫ+elits+inhet+xu'	_:out _:poss ? _:down _:down	Matacoan	i + ɫ + e l i ts + i n h e t + x u ʔ	ik'axiyit+in; iɫelitsinhetxu'; isaX+em; iwk'itsin+xi'; tusix			i+ɫ+elits+inhet+xu'
5619	i s a χ + e m	2559 3235	cut	1432	Maka	isaX+em		Matacoan	i s a χ + e m	ik'axiyit+in; iɫelitsinhetxu'; isaX+em; iwk'itsin+xi'; tusix			
5620	i w kˀ i ts i n + x i ʔ	4629 4580	cut	1432	Maka	iwk'itsin+xi'	_:inside	Matacoan	i w kˀ i ts i n + x i ʔ	ik'axiyit+in; iɫelitsinhetxu'; isaX+em; iwk'itsin+xi'; tusix			
5621	None	108	cut	1432	Maka	tusix		Matacoan	t u s i x	ik'axiyit+in; iɫelitsinhetxu'; isaX+em; iwk'itsin+xi'; tusix			el pelo
5622	None	4630 4631	cloud	1489	Maka	was+i'	sky _:fem	Matacoan	w a s + i ʔ	wasi'			
5623	u ɫ ʔ a χ	4632	bad	1292	Maka	uɫ'aX		Matacoan	u ɫ ʔ a χ	uɫ'aX			
5624	None	113	come	1446	Maka	nek		Matacoan	n e k	nek; taɫ			
5625	t a ɬ	622	come	1446	Maka	taɫ		Matacoan	t a ɬ	nek; taɫ			
5626	ɬ + e s e x	2276 623	leaf	628	Maka	ɫ+esex	_:poss leaf	Matacoan	ɬ + e s e x	ɫesex			
5627	e n e w eː n	4633 1251 2083 4634	they	817	Maka	e+ne+we+en		Matacoan	e n e w eː n	eneween			
5628	None	4630	sky	1732	Maka	was		Matacoan	w a s	was			
5629	x i l i	3249 2529	dirty, soiled	1230	Maka	xili+i	 _:out	Matacoan	x i l i	xilii			Verbo. xili': suciedad
5630	None	116	sew	1457	Maka	tiɫ		Matacoan	t i ɫ	tiɫ			
5631	ɫ o w qˀ o l	4636	smoke (noun)	778	Maka	ɫowq'ol		Matacoan	ɫ o w qˀ o l	ɫowq'ol			En otro ejemplo aparece sin '
5632	None	634	heavy	1210	Maka	niihet		Matacoan	n iː h e t	niihet			
5633	None	4637 4638	salt	1274	Maka	wit+lepinek	_:poss ?	Matacoan	w i t + l e p i n e k	witlepinek			Del nombre del árbol del que sale wit+lepinek
5634	s e h e ts + ɫ + ʔ a f t u k	2496 2276 2088	green	1425	Maka	sehets+ɫ+'aftuk	fish _:poss bilis	Matacoan	s e h e ts + ɫ + ʔ a f t u k	sehetsɫ'aftuk			Lit: hiel del pescado
5635	ɫ o qˀ o q + x i ʔ	121 4580	rotten	1728	Maka	ɫoq'oq+xi'	_:inside	Matacoan	ɫ o qˀ o q + x i ʔ	ɫoq'oqxi'			
5636	None	2579	where	1237	Maka	pan		Matacoan	p a n	pan			
5637	w ei + h i t	4639 123	wet, damp	1726	Maka	wey+hit	wet ?	Matacoan	w ei + h i t	weyhit; weyxu'			Verbo tr
5638	w ei + x u ʔ	4639 4621	wet, damp	1726	Maka	wey+xu'	wet _:down	Matacoan	w ei + x u ʔ	weyhit; weyxu'			Verbo intr
5639	a kˀ e s + a + χ e m	2577 4640 4641	split	1437	Maka	ak'es+a+Xem		Matacoan	a kˀ e s + a + χ e m	ak'es+aXem			ak'es+a+Xem en realidad la 'a' es vocal de apoyo, no sé si en ese caso la separan o no
5640	None	4642	if	1459	Maka	me		Matacoan	m e	me; in; qu'			
5641	None	4643	if	1459	Maka	in		Matacoan	i n	me; in; qu'			
5642	None	3271	if	1459	Maka	qu'		Matacoan	q u ʔ	me; in; qu'			
5643	None	1285	rope, cord	1218	Maka	niyak		Matacoan	n i j a k	niyak			
5644	None	2579	how	1239	Maka	pan		Matacoan	p a n	pan			
5645	w e ts h e t kˀ + e w i ɬ	4644 4645	three	492	Maka	wetshetk'+ewiɫ	two one	Matacoan	w e ts h e t kˀ + e w i ɬ	wetshetk'ewiɫ			
5646	f o ʔ	4614 4646	white	1335	Maka	fo'		Matacoan	f o ʔ	fo'			
5647	None	647 561 184	white	1335	Maka	a+maxa+y	? yellow ?	Matacoan	a + m a x a + j	amaxay			For humans
5649	i tˀ i x	4649	say	1458	Maka	it'ix		Matacoan	i tˀ i x	it'ix			
5650	t o χ + iː	1291	far (adv)	1406	Maka	toXii	far _:appl	Matacoan	t o χ + iː	toXii			
5651	tˀ a p ɫ i ʔ	4650	thick (in dimension)	1244	Maka	t'apɫi'		Matacoan	tˀ a p ɫ i ʔ	t'apɫi'			
5652	i n i n q a + p	1296	year	1226	Maka	ininqap	algarrobo _:season	Matacoan	i n i n q a + p	ininqap			
5653	i j a ʔ	2586	drink	1401	Maka	iya'		Matacoan	i j a ʔ	iya'			
5654	ɬ  ʔ o pˀ o m	2276 4311	flower	239	Maka	ɫ'op'om		Matacoan	ɬ ʔ o pˀ o m	ɫ'op'om			
5655	None	79	water	948	Maka	iweli	water	Matacoan	i w e l i	iweli			
5656	f e j i x	4651	left (side)	244	Maka	feyix		Matacoan	f e j i x	feyix			
5657	None	4652 4621	fall	1280	Maka	'am+xu'	come _:down	Matacoan	ʔ a m + x u ʔ	'amxu'			
5658	i j a j i x	4653	know	1410	Maka	iyayix		Matacoan	i j a j i x	iyayix			
5659	i + i + pʰ a m	2529 2529 4581	stand	1442	Maka	i+i+pham	_:3sg go _:up	Matacoan	i + i + pʰ a m	iipham			
5660	l o ʔ	1311	ashes	646	Maka	lo'		Matacoan	l o ʔ	lo'			
5661	None	1744	large, big	1202	Maka	qi		Matacoan	q i	qi			
5662	i kˀ a x i j i t	2559	short	1645	Maka	ik'axiyit		Matacoan	i kˀ a x i j i t	ik'axiyit			
5663	n a x a χ	157	night	1233	Maka	naxaX		Matacoan	n a x a χ	naxaX			
5664	i s a χ	4654	sand	671	Maka	isaX		Matacoan	i s a χ	isaX			
5665	e p kˀ e ts a χ	4655	wide, broad	1243	Maka	epk'etsaX		Matacoan	e p kˀ e ts a χ	epk'etsaX			Solo inanimados epk'etsaX No sé si dividiría la primera parte
5666	e + kh e w e + l + i ɫ	667 4656 4596 4596	you (plural)	1213	Maka	e+khewe+l+iɫ	? _:pl _:pl	Matacoan	e + kh e w e + l + i ɫ	ekheweliɫ			e-khewe-l-iɫ
5667	x u n kh ai	4657	fog	249	Maka	xunkhay	fog/cat	Matacoan	x u n kh ai	xunkhay			
5668	l eː f i x	4658	five	493	Maka	leefix		Matacoan	l eː f i x	leefix			
5669	i n kˀ a j i k	2608 2106	new	1231	Maka	ink'ay+ik		Matacoan	i n kˀ a j i k	ink'ayik			
5670	x u pˀ + e l	674 2109	grass	606	Maka	xup'el+ket	grass _:suff	Matacoan	x u pˀ + e l	xup'elket			xup'el+ket
5671	e w i ɬ	4645	one	1493	Maka	ewiɫ		Matacoan	e w i ɬ	ewiɫ			
5672	None	677	every, all	98	Maka	week		Matacoan	w eː k	week			
5673	None	681	name	1405	Maka	ii		Matacoan	iː	ii			Plural witiyits
5674	ɬ a + w a m a χ	4659	old	1229	Maka	ɫawamaX	_:poss old	Matacoan	ɬ a + w a m a χ	ɫawamaX			For animate and inanimate beings
5675	ei kˀ u n ei	4660	good	1035	Maka	eyk'uney		Matacoan	ei kˀ u n ei	eyk'uney			eyk'une'i; xeyk'un
5676	None	177	father	1217	Maka	tata		Matacoan	t a t a	tata; ɫenhet			
5677	ɬ e n h e t	4661	father	1217	Maka	ɫenhet		Matacoan	ɬ e n h e t	tata; ɫenhet			Used when the son's mother is dead
5678	ɬ a mː i s	4662	small, little	1246	Maka	ɫammis		Matacoan	ɬ a mː i s	ɫammis			Also ɫas 
5679	None	2579	when?	1238	Maka	pan	INT	Matacoan	p a n	pan			
5680	j + a kh a ʔ	184 3336	I	1209	Maka	y+akha'	_/j ?	Matacoan	j + a kh a ʔ	y+akha'			
5681	w e ts x u k	4644	two	1498	Maka	wetsxuk		Matacoan	w e ts x u k	wetsxuk			
5682	None	3338	what?	1236	Maka	ɫek	what	Matacoan	ɫ e k	ɫek			
5683	i x e + t a χ	688 7548	long	1203	Maka	ixe+taX	? _:aum	Matacoan	i x e + t a χ	ixetaX			
5684	None	2625	grease, fat	323	Maka	uxe'	grease	Matacoan	u x e ʔ	uxe'; ɫuxe'			Humana
5685	None	2276 2625	grease, fat	323	Maka	ɫ+uxe'	_:poss grease	Matacoan	ɫ + u x e ʔ	uxe'; ɫuxe'			Animal
5686	χ a t ai	4663	intestines, guts	1991	Maka	Xatay		Matacoan	χ a t ai	Xatay			
5687	kˀ iː	4664	spit	1440	Maka	k'ii		Matacoan	kˀ iː	k'ii			
5688	a q h u ts	191	knee	1371	Maka	aqhuts		Matacoan	a q h u ts	aqhuts			
5689	a ts a th e n	4665	straight	1404	Maka	atsathen		Matacoan	a ts a th e n	atsathen; teene			Horizontal
5690	None	1373	straight	1404	Maka	teene		Matacoan	t eː n e	atsathen; teene			Vertical
5691	e n x e + j i ʔ i x	4666 4667 4668	smell (vb trans)	1586	Maka	enxe+yi+'ix	nose _:vblz	Matacoan	e n x e + j i ʔ i x	enxeyi'ix			
5692	kˀ oː j + x i ʔ	2126 4580	round	1395	Maka	k'ooy+xi'	_:inside	Matacoan	kˀ oː j + x i ʔ	k'ooyxi'; toofo			
5693	t oː f o	1376	round	1395	Maka	toofo		Matacoan	t oː f o	k'ooyxi'; toofo			No humano
5694	None	4669	rub, wipe	1449	Maka	ilas		Matacoan	i l a s	ilas			
5695	None	4670	tree (cf 08.600)	906	Maka	naxkak		Matacoan	n a x k a k	naxkak			naxak: wood (for burning or building)
5696	None	195 1120	hunt	1435	Maka	aqɫinix+kii	_:ext _:ext	Matacoan	a q ɫ i n i x + k iː	aqɫinixkii			Aparecen otras formas en ejemplos
5697	None	4671	moon	1313	Maka	xuwel		Matacoan	x u w e l	xuwel			
5698	ɬ + o ʔ	2129	seed	714	Maka	ɫo'	_:poss seed	Matacoan	ɬ + o ʔ	ɫo'; wenq'en			
5699	w e n qˀ e n	4672	seed	714	Maka	wenq'en		Matacoan	w e n qˀ e n	ɫo'; wenq'en			Also bullet
5700	None	4673	sun	1343	Maka	xunu'		Matacoan	x u n u ʔ	xunu'			
5701	None	1845 4347	wash	1453	Maka	npulix+in	wash ?	Matacoan	n p u l i x + i n	npulixin			npuxin
5702	f u j u + x u m	4625 3363	sing	1261	Maka	fuyu+xum	sing ?	Matacoan	f u j u + x u m	fuyuxum; lixtsii			Canto chamánico
5703	l i x ts iː	4674	sing	1261	Maka	lixtsii		Matacoan	l i x ts iː	fuyuxum; lixtsii			
5704	i x u j e + k iː	4675 1120	laugh	1355	Maka	ixuye+kii	_:ext _:ext	Matacoan	i x u j e + k iː	ixuyekii			
5705	o ph e ɫ	3370	tie, bind	1917	Maka	opheɫ		Matacoan	o ph e ɫ	opheɫ			
5706	ɫ ʔ i f i w a χ	4676	ice	617	Maka	ɫ'ifiwaX	ice	Matacoan	ɫ ʔ i f i w a χ	ɫ'ifiwaX			Solo en ejemplos
5707	t + i s i x	1402	give	1447	Maka	tisix	_:3sg give	Matacoan	t + i s i x	tisix			Also ɫisix
5708	ɬ a m i s + ɬ e	1404 214	little (quantity), few	1242	Maka	ɫamis+ɫe	small _:?	Matacoan	ɬ a m i s + ɬ e	ɫamisɫe			
5709	x e j u m ts h e n	4677	count	1420	Maka	xeyumtshen		Matacoan	x e j u m ts h e n	xeyumtshen			
5710	None	1744	much, many	1198	Maka	qi		Matacoan	q i	qi; olots			
5711	o l o ts	4595	much, many	1198	Maka	olots		Matacoan	o l o ts	qi; olots			Countable
5712	j e + kh e w e + l + i ɫ	220 2136 4596 4596	we	1212	Maka	ye+khewe+l+iɫ	? _:pl _:pl	Matacoan	j e + kh e w e + l + i ɫ	yekheweliɫ; inekhewel			Exclusivo ye+khewe+l+iɫ
5713	i n + e kh e w e + l	3386 2136 4596	we	1212	Maka	in+ekhewe+l	? _:pl	Matacoan	i n + e kh e w e + l	yekheweliɫ; inekhewel			Inclusivo in+ekhewe+l
5714	kˀ w i	3388	cold	1287	Maka	k'wi		Matacoan	kˀ w i	k'wi; k'uyim			
5716	n + x u	221 717	sit	1416	Maka	n+xu	stand _:down	Matacoan	n + x u	nxu			
5717	None	2139	and	1577	Maka	qa		Matacoan	q a	qa			
5718	ɫ e n e ʔ	2659	woods, forest	420	Maka	ɫene'		Matacoan	ɫ e n e ʔ	ɫene'			
5719	None	723	push, shove	1452	Maka	wum		Matacoan	w u m	wum			
5720	e qˀ i m iː	4678	smooth	1234	Maka	eq'imii		Matacoan	e qˀ i m iː	eq'imii			
5721	ɫ ʔ i f i w a χ	4676	snow (noun)	784	Maka	ɫ'ifiwaX	ice	Matacoan	ɫ ʔ i f i w a χ	ɫ'ifiwaX			T. helada, escarcha
5722	ɬ + e ʔ	2144	fruit	1507	Maka	ɫe'	_:poss fruit	Matacoan	ɬ + e ʔ	ɫe'			Only in examples
5723	None	733	river, stream, brook	666	Maka	haqqi'		Matacoan	h a qː i ʔ	haqqi'			
5724	None	734	animal	619	Maka	inqamet		Matacoan	i n q a m e t	inqamet; ɫinek			
5725	ɬ i n e k	4679	animal	619	Maka	ɫinek		Matacoan	ɬ i n e k	inqamet; ɫinek			Domestic, classifier
5726	None	2665	mosquito	1509	Maka	iye'		Matacoan	i j e ʔ	iye'			Vts: witqiɫinkele'; amhi' (polvorín); asɫenhe'
5727	s i w a l a χ	234	spider	843	Maka	siwalaX		Matacoan	s i w a l a χ	siwalaX			Varieties: iɫketsini; small and red, black and poisonous
5728	None	4680	claw	72	Maka	yaqsi'	finger	Matacoan	j a q s i ʔ	yaqsi'			Also finger and ring
5729	k oi	4574	arm	1673	Maka	koy		Matacoan	k oi	koy			Also 'hand' and 'forearm'
5730	None	4681	stomach	819	Maka	kutxii		Matacoan	k u t x iː	kutxii			
5731	ɬ e + k e + ts	4682	horn	1393	Maka	ɫekets	_:poss horn _:pl	Matacoan	ɬ e + k e + ts	ɫekets			
5732	None	1440	beard	678	Maka	apxusi'		Matacoan	a p x u s i ʔ	apxusi'			
5733	e w kˀ e j ei	4683	shoulder	1482	Maka	ewk'eyey		Matacoan	e w kˀ e j ei	ewk'eyey			
5735	q e pˀ i j e k	4685	chin	1510	Maka	qep'iyek		Matacoan	q e pˀ i j e k	qep'iyek			
5736	None	2674	lip	478	Maka	pas	lip	Matacoan	p a s	pas			
5737	None	4686	toe	1389	Maka	fux	toe	Matacoan	f u x	fux			T. pezuña
5738	o t k o j e k	4687	forehead	123	Maka	otkoyek		Matacoan	o t k o j e k	otkoyek			
5739	None	4680	finger	1303	Maka	yaqsi'		Matacoan	j a q s i ʔ	yaqsi'			Also claw and ring
5740	None	4688	elbow	981	Maka	noki'		Matacoan	n o k i ʔ	noki'			
5741	None	4689	fingernail	1258	Maka	qofol		Matacoan	q o f o l	qofol			
5742	None	2682	thigh	800	Maka	kumkenet		Matacoan	k u m k e n e t	kumkenet			
5743	None	2684	thunder	1150	Maka	texen		Matacoan	t e x e n	texen			Verb and noun
5744	None	17	because	1157	Maka	qe		Matacoan	q e	qe			
5745	t e tʰ e l u n	4690	lightning	1654	Maka	tethelun		Matacoan	t e tʰ e l u n	tethelun			Verb and noun
